First Name,Middle Name,Last Name,Staff ID,Aadhaar Number,Skills,Hobbies,Awards,Recognitions,email,Mobile Number,Alternative Mobile Number,Nationality,Religion,Community:,Scar,Mole:,Medical History:,Address:,City:,State:,Pincode:,Address,City,State,Pincode,Designation,Description,Bank Name,Branch Name,Account Number,IFSC Code,PAN Number,College,Course,Specialization,School,Specialization,Percentage,CGPA,Total marks,gained marks,Designation,Name of Institution,Location,Notes,Father Name,Occupation,Father Email,Father Phone,Mother Name,Mother Occupation,Mother Email,Mother Phone,Guardian Name,Occupation,Guardian Email,Guardian Phone,Guardian Relation
Meena,Raj,Thompson,STF0014,7779 8888 9997,Customer Service,Traveling,Art Club Award,Student Council recognition,erpteststaff14@yopmail.com,8249163075,9075326841,British,Scientology,Low-Income Families,Scar on left shoulder blade,Mole on right ankle,Insomnia,7777 Redwood Dr.,Columbus,Arizona,400003,"5, Janpath Lane, Sanganer",Varanasi,West Bengal,462003,Art Teacher,Teaches physical education classes and coaches sports teams to promote student health and fitness.,Corporation Bank,Delhi Karol Bagh,78945612303,INDU0002345,NNNNN4444N,Amity University,Bachelor of Journalism and Mass Communication (BJMC),Biotechnology,The Daly College,Educational Psychology,94%,7.4,1110,504,Language Teacher,Van Buren Vocational School,"Columbus, Ohio","Worked as a data entry clerk at a medical office, inputting patient information and maintaining records.",Daniel,Actor,erptestfather14@yopmail.com,9038172654,Jessica,Actor,erptestmother14@yopmail.com,8971453620,Samuel Lee,Actor,erptestguardian14@yopmail.com,9012345678,Mentor
Raghav,Ravi,Moore,STF0015,1214 2325 3436,Sales,Cooking,Athletic Achievement Award,Community Service recognition,erpteststaff15@yopmail.com,7916430582,8347952610,Egyptian,Rastafarianism,Environmentalists,Scar on back of neck,Mole on upper chest,Kidney stones,8888 Laurel Rd.,San Francisco,Massachusetts,600003,"11, Vaishali Nagar, Vidhyadhar Nagar",Nagpur,Goa,273015,Drama Teacher,Teaches music classes and directs music programs to foster students' musical abilities.,United Bank of India,Mumbai Fort,16151413121,CORP0003333,OOOOO5555O,Banaras Hindu University (BHU),Bachelor of Hotel Management (BHM),Journalism,The Cathedral and John Connon School,Counseling and Guidance,70%,8.5,540,410,History Teacher,Grant International Baccalaureate Program,"San Francisco, California","Completed a summer internship at an accounting firm, assisting with tax preparation and bookkeeping.",Brian,Social worker,erptestfather15@yopmail.com,8710526398,Lisa,Social worker,erptestmother15@yopmail.com,8095342761,Amelia Adams,Social worker,erptestguardian15@yopmail.com,8674321059,Social worker
Anjali,Vinod,Young,STF0016,2345 3456 4567,Marketing,Baking,Most Improved Student Award,Citizenship recognition,erpteststaff16@yopmail.com,8973062154,8921473605,Australian,Druidism,Activists,Scar on left ankle,Mole on left calf,Migraines,9999 Cypress Ave.,Charlotte,Tennessee,700003,"23, Malviya Nagar, Civil Lines",Surat,Himachal Pradesh,400001,Science Teacher,Teaches art classes and oversees art programs to promote students' creativity and artistic skills.,Dena Bank,Chennai Mylapore,24681012149,BOI00077778,PPPPP6666P,Anna University,Bachelor of Pharmacy (BPharm),Architecture,The Bombay Scottish School,Multicultural Education,97%,6.1,1190,966,Social Studies Teacher,Garfield Music Conservatory,"Charlotte, North Carolina","Served as a tour guide for a historical museum, sharing information about exhibits and leading group tours.",Andrew,Psychologist,erptestfather16@yopmail.com,8920347156,Amy,Psychologist,erptestmother16@yopmail.com,8397612045,Benjamin Perez,Psychologist,erptestguardian16@yopmail.com,9087654321,Step-mother
Shreya,Arjun,Allen,STF0017,8888 7777 6666,Public Speaking,Gardening,Outstanding Student Award,Foreign Language Achievement recognition,erpteststaff17@yopmail.com,8541270693,8490621375,Argentinian,Hare Krishna,Scientists,Scar on upper back,Mole on right elbow,Multiple sclerosis,1212 Magnolia Blvd.,Indianapolis,Indiana,800003,"8, Rambagh Circle, C Scheme",Vadodara,Uttarakhand,834001,Math Teacher,Teaches drama classes and directs theatrical productions to foster students' theatrical abilities.,Vijaya Bank,Bangalore Basavanagudi,36912151829,ALLA0009999,QQQQQ7777Q,Jadavpur University,Bachelor of Ayurvedic Medicine and Surgery (BAMS),Fashion Design,Sardar Patel Vidyalaya,Environmental Education,68%,8.9,650,584,Technology Teacher,Taft College Preparatory Academy,"Indianapolis, Indiana","Worked as a receptionist at a dental office, scheduling appointments and greeting patients.",Kevin,Sales representative,erptestfather17@yopmail.com,8049362175,Michelle,Sales representative,erptestmother17@yopmail.com,8765409132,Harper Turner,Sales representative,erptestguardian17@yopmail.com,8472036591,Step-father
Neha,Gaurav,King,STF0018,1215 2326 3437,Conflict Resolution,Yoga,Community Service Award,History recognition,erpteststaff18@yopmail.com,9260347581,9125673084,Korean,Wicca,Artists,Scar on left bicep,Mole on back of neck,Osteoporosis,2323 Cedarwood Way,Seattle,Missouri,900003,"15, Pratap Nagar, Nirman Nagar",Thiruvananthapuram,Karnataka,641002,English Teacher,Teaches science classes and conducts scientific research to promote student scientific understanding.,Andhra Bank,Hyderabad Hitec City,15141311107,FED00012345,RRRRR8888R,Birla Institute of Technology and Science (BITS Pilani),Bachelor of Homeopathic Medicine and Surgery (BHMS),Graphic Design,Shree Swaminarayan Gurukul International School,Gifted and Talented Education,79%,7.6,780,678,Computer Science Teacher,Cleveland Magnet School of Math and Science,"Seattle, Washington","Completed an internship at a software development company, assisting with coding and software testing.",Timothy,Marketing manager,erptestfather18@yopmail.com,9075482361,Angela,Marketing manager,erptestmother18@yopmail.com,8542361907,Michael Lewis,Marketing manager,erptestguardian18@yopmail.com,8210987654,Adoptive mother
Amrita,,Shalini,STF0019,4446 5557 6668,Data Analysis,Meditation,Citizenship Award,English recognition,erpteststaff19@yopmail.com,8492316570,8369147520,Spanish,Satanism,Writers,Scar on right temple,Mole on left shoulder blade,Rheumatoid arthritis,3434 Oakdale Ave.,Denver,Maryland,110004,"29, Kirti Nagar, Tilak Nagar",Coimbatore,Chhattisgarh,380001,Social Studies Teacher,Teaches math classes and develops math curricula to promote students' mathematical abilities.,Allahabad Bank,Kolkata Gariahat,21222324253,AND00011113,SSSSS9999S,Indian School of Business (ISB),Bachelor of Dental Surgery (BDS),Information Technology,Vasant Valley School,International Education,83%,5.5,970,654,Home Economics Teacher,Coolidge Creative Arts School,"Denver, Colorado","Served as a restaurant hostess, greeting guests and managing seating arrangements.",Anthony,Financial advisor,erptestfather19@yopmail.com,8791506432,Stephanie,Financial advisor,erptestmother19@yopmail.com,8430157926,Abigail Cooper,Financial advisor,erptestguardian19@yopmail.com,8240937651,Adoptive father
Arun,,Deepak,STF0020,5558 6677 7799,Programming,Playing board games,Foreign Language Achievement Award,Science recognition,erpteststaff20@yopmail.com,9324760815,8052316794,Kenyan,Atheism,Musicians,Scar on right hip,Mole on right knee,Seasonal allergies,4545 Pinehurst Dr.,"Washington, D.C.",Wisconsin,400004,"7, Patel Marg, Malviya Nagar",Chandigarh,Andhra Pradesh,141001,Foreign Language Teacher,Teaches English classes and develops language arts curricula to promote students' language and literacy skills.,UCO Bank,Mumbai Lower Parel,56575859609,VIJB0004567,TTTTT0000T,Indian Institute of Management Ahmedabad (IIMA),Bachelor of Optometry (BOptom),Cybersecurity,Dhirubhai Ambani International School,Distance Education and E-learning,95%,9.3,590,530,Foreign Language Teacher,Hayes Humanities Academy,Washington D.C.,"Worked as a freelance writer, producing content for various websites and publications.",Nicholas,Human resources manager,erptestfather20@yopmail.com,9238741056,Katherine,Human resources manager,erptestmother20@yopmail.com,8729361054,Daniel Wilson,Human resources manager,erptestguardian20@yopmail.com,8540396712,Grandmother
Gaurav,,Neha,STF0021,1216 2327 3438,Web Design,Playing video games,History Award,Social Studies recognition,erpteststaff21@yopmail.com,7941235680,9248617035,Thai,Agnosticism,Athletes,Scar on left hip,Mole on left foot,Severe back pain,5656 Maplewood Rd.,Boston,Minnesota,600004,"62, Raja Park, Jhotwara",Guwahati,Telangana,144401,IT Support Specialist,Teaches social studies classes and develops social studies curricula to promote students' understanding of history and society.,Kotak Mahindra Bank,Delhi Janakpuri,12572489633,SYNB0008888,UUUUU1111U,Indian Institute of Management Bangalore (IIMB),Bachelor of Physiotherapy (BPT),Hospitality Management,Sri Sri Ravi Shankar Vidya Mandir,School Counseling and Mental Health,77%,4.9,840,490,Reading Specialist,Jackson Environmental Science Institute,"Boston, Massachusetts","Completed an internship at a television news station, assisting with production and reporting.",Benjamin,Information technology specialist,erptestfather21@yopmail.com,8935764210,Rachel,Information technology specialist,erptestmother21@yopmail.com,9283650147,Madison Campbell,Information technology specialist,erptestguardian21@yopmail.com,8967342105,Grandfather
Nandini,,Ashish,STF0022,9876 5432 1987,Graphic Design,Watching movies,English Award,Technology and Innovation recognition,erpteststaff22@yopmail.com,8534760912,8971263405,Indonesian,Animism,Entrepreneurs,Scar on right shoulder,Mole on left hip,Sleep apnea,6767 Sycamore Ln.,Nashville,Colorado,700004,"41, Shyam Nagar, Vaishali Nagar",Agra,Mizoram,122001,Administrative Assistant,Teaches foreign language classes and develops language curricula to promote students' linguistic abilities.,IndusInd Bank,Chennai Adyar,15975348623,UBIN0531011,VVVVV2222V,Indian Institute of Management Calcutta (IIMC),Bachelor of Occupational Therapy (BOT),International Relations,The Sanskaar Valley School,Educational Assessment and Evaluation,88%,7.1,690,529,Speech and Language Pathologist,Hoover Health Sciences Academy,"Nashville, Tennessee","Served as a graphic designer for a marketing agency, creating visual content for clients.",Patrick,Project manager,erptestfather22@yopmail.com,8059476321,Julia,Project manager,erptestmother22@yopmail.com,8039652471,Matthew Parker,Project manager,erptestguardian22@yopmail.com,8754012396,Godfather
Nitin,,Kunal,STF0023,2223 3334 4445,Video Editing,Listening to music,Science Award,Academic Achievement recognition,erpteststaff23@yopmail.com,9012874653,7695823140,Dutch,Shamanism,Educators,Scar on left foot,Mole on right bicep,Thyroid disorder,7878 Ashford Ave.,Portland,Alabama,800004,"17, Geeta Bhawan, Mahaveer Nagar",Jodhpur,Arunachal Pradesh,160017,Cafeteria Manager,Provides technical support to faculty and students to ensure that the school's technology is functioning properly.,Yes Bank,Bangalore Indiranagar,45678912309,BMBL0000123,BBBBB2223B,Indian Institute of Management Lucknow (IIML),Bachelor of Science in Nursing (BSc Nursing),Law,Gitanjali School,Educational Research,99%,8.2,1160,1012,School Psychologist,Pierce Christian School,"Portland, Oregon","Worked as a line cook at a busy restaurant, preparing and plating dishes.",George,Graphic designer,erptestfather23@yopmail.com,8250193476,Christina,Graphic designer,erptestmother23@yopmail.com,8649351207,Elizabeth Flores,Graphic designer,erptestguardian23@yopmail.com,8390621547,Family friend
Ravi,,Preeti,STF0024,1114 2225 3336,Writing,"Collecting items (e.g. stamps, coins, antiques)",Social Studies Award,National Merit recognition,erpteststaff24@yopmail.com,8960415237,9086234715,Turkish,Voodoo,Health Care Workers,Scar on right wrist,Mole on left lower back,Ulcerative colitis,8989 Willowbrook Dr.,Las Vegas,Louisiana,900004,"52, Mahavir Nagar, Nai Basti",Meerut,Manipur,700001,,Supports school administrative tasks to ensure that the school runs smoothly and efficiently.,RBL Bank,Pune Koregaon Park,10203040508,CBI00056789,BBBBB2221B,Indian Institute of Management Kozhikode (IIMK),Bachelor of Science in Agriculture (BSc Ag),Media Studies,The Heritage School,Teacher Education and Professional Development,72%,6.4,780,699,Behavior Specialist,Harding Performing Arts School,"Las Vegas, Nevada","Completed a summer internship at a fashion magazine, assisting with photo shoots and editorial content.",Edward,Real estate agent,erptestfather24@yopmail.com,8957164203,Diana,Real estate agent,erptestmother24@yopmail.com,8340571269,Andrew Ramirez,Real estate agent,erptestguardian24@yopmail.com,8462917530,Neighbor
Rahul,Kumar,Smith,STF0001,7777 8888 9998,Project Management,Reading,Valedictorian Award,Honor Roll recognition,erpteststaff2@yopmail.com,9465037281,9073468125,Indian,Christianity,LGBTQ,Large scar above left eyebrow,Small mole above left eyebrow,Allergic to pollen,123 Main St,New York City,California,110001,"57, Ashok Nagar, Bapuji Nagar",Gwalior,Kerala,110034,Head of School,Oversees the day-to-day operations of the school and ensures that it is run efficiently and effectively.,HDFC Bank,Mumbai Main,98765432108,HDFC0000240,BBBBB2221B,Indian Institute of Technology Bombay (IITB),Bachelor of Arts (BA),Computer Science,Delhi Public School,Early Childhood Education,89%,7.2,800,603,Principal,Jefferson High School,"New York City, New York","Worked as a marketing intern for a small business, assisting with social media campaigns and market research.",John,Doctor,erptestfather01@yopmail.com,8829176345,Mary,Doctor,erptestmother01@yopmail.com,8250491736,Emily Garcia,Doctor,erptestguardian01@yopmail.com,8790654321,Aunt
Kavita,Suresh,Johnson,STF0002,7777 8888 9999,Time Management,Writing,Salutatorian Award,Most Improved Student recognition,erpteststaff3@yopmail.com,8912746583,8752396140,Chinese,Islam,People with Disabilities,Small scar on chin,Large mole on right cheek,Asthma,456 Park Ave.,Los Angeles,Texas,400001,"24, Subhashpuri, Adarsh Nagar",Bhopal,Punjab,682031,Dean of Students,Assists the principal with managing the school and may have specific responsibilities in certain areas.,ICICI Bank,Kolkata Park Street,98765432109,HDFC0000240,BBBBB2222B,Indian Institute of Technology Delhi (IITD),Bachelor of Science (BSc),Mechanical Engineering,The Shri Ram School,Curriculum Design and Development,76%,9.5,1070,775,Vice Principal,Lincoln Middle School,"Los Angeles, California","Served as a teaching assistant at a summer camp, helping to organize activities and mentor children.",William,Teacher,erptestfather02@yopmail.com,9026641837,Jennifer,Teacher,erptestmother02@yopmail.com,8945273160,David Rodriguez,Teacher,erptestguardian02@yopmail.com,9078563210,Uncle
Manish,Rakesh,Brown,STF0003,1212 2323 3434,Teamwork,Drawing,Honor Roll,Perfect Attendance recognition,erpteststaff3@yopmail.com,8354921760,8924760315,Mexican,Hinduism,SeniorsElderly,Thin scar on right cheek,Raised mole on nose,Broken arm at age 10,789 Elm St.,Chicago,Florida,600001,"6/29, Rajiv Gandhi Nagar, Shanti Nagar",Amritsar,Assam,144204,Director of Admissions,Leads the school community and fosters a positive learning environment for students and staff.,Axis Bank,Delhi Connaught Place,56789012345,ICIC0000101,CCCCC3333C,Indian Institute of Technology Madras (IITM),Bachelor of Commerce (BCom),Business Administration,The Mother's International School,Educational Leadership and Management,92%,6.8,960,810,Head Teacher,Roosevelt Elementary School,"Chicago, Illinois","Worked as a barista at a local coffee shop, providing excellent customer service and honing my communication skills.",Michael,Engineer,erptestfather03@yopmail.com,8357294901,Elizabeth,Engineer,erptestmother03@yopmail.com,8039256174,Olivia Martinez,Engineer,erptestguardian03@yopmail.com,8234567190,Older sister
