First Name,Middle Name,Last Name,Student ID,Aadhaar Number,Skills,Hobbies,Awards,Recognitions,Email,Mobile Number,Emergency Mobile Number,Scar,Mole,Medical History,Temporary Address,City,State,Pincode,Permanent Address,City,State,Pincode,Sibling Name,Sibling Education,admission no,parent id,annual income,first name,middle name,last name,father name,father mobile,father gmail,father education,father occupation,mothername,mother mobile,mother email,mother educaiton,mother occupation,guardian name,guardian gmail,guardian mobile,guardian relation,guardian education,gurrdian occupation
Sumedha,,Kim,STNT0027,154722619785,Organization,The Arts,1st rank,NA,erpteststudent27@yopmail.com,7730817684,,nostril,nose,Alargic,Street Chennai Tamil Nadu,Chennai,Tamil Nadu,600006,Street Chennai Tamil Nadu,Chennai,Tamil Nadu,600006,Jyoti Kushwaha,2,ADMNO065,Parent0027,82303,Jit singh,,e,Jit singh,7529163983,erptestfather27@yopmail.com,M Com,engineer,Kashmiro devi,7529164084,,ME,business,,,,,,,,
Khushi,,Singh,STNT0028,173992509655,Adaptability,Other Creative Hobbies,NA,NA,erpteststudent28@yopmail.com,7494784490,,hair,head,No,colony Chennai Tamil Nadu,Chennai,Tamil Nadu,600021,colony Chennai Tamil Nadu,Chennai,Tamil Nadu,600021,Khushi,5,ADMNO028,Parent0028,130561,Tejpal singh,,f,Tejpal singh,7529510937,erptestfather28@yopmail.com,MBBS,framer,Reena Singh,7529511038,,BA,Government officer,,,,,,,,
Sumedha,,Rodriguez,STNT0029,124865703307,Adaptability,Outdoor Hobbies,NA,NA,erpteststudent29@yopmail.com,8757881072,,forehead,temple,No,central Chennai Tamil Nadu,Chennai,Tamil Nadu,600002,central Chennai Tamil Nadu,Chennai,Tamil Nadu,600002,Preeti,6,ADMNO029,Parent0029,130561,RAJEEV KUMAR,,a,RAJEEV KUMAR,6540316567,erptestfather29@yopmail.com,BE,Government officer,RANI RAI,6540316668,,M Com,Doctor,,,,,,,,
ADITYA KUMAR,,Martinez,STNT0030,142338555803,Organization,The Benefits of Hobbies,NA,State winner,erpteststudent30@yopmail.com,6950874960,,head,temple,No,colony Chennai Tamil Nadu,Chennai,Tamil Nadu,600033,colony Chennai Tamil Nadu,Chennai,Tamil Nadu,600033,ADITYA KUMAR,7,ADMNO030,Parent0030,130561,RAJEEV KUMAR,,e,RAJEEV KUMAR,6211496894,erptestfather30@yopmail.com,M Com,nurse,RANI RAI,6211496995,,M Tech,professor,,,,,,,,
Mehak Dogra,,Lee,STNT0031,148682853858,Problem-solving,Food & Cooking Hobbies,NA,NA,erpteststudent31@yopmail.com,6684233629,,head,face,TB,west Chennai Tamil Nadu,Chennai,Tamil Nadu,600049,west Chennai Tamil Nadu,Chennai,Tamil Nadu,600049,ADITYA KUMAR,5,ADMNO031,Parent0031,49393,Dhanpat Rai,,f,Dhanpat Rai,8113964418,erptestfather31@yopmail.com,MBA,engineer,Neelam bharti,8113964519,,M Com,framer,,,,,,,,
Kumari yukti,,Chen,STNT0032,163649923281,Teamwork,Food & Cooking Hobbies,NA,NA,erpteststudent32@yopmail.com,6883657107,,earlobe,forehead,No,south Chennai Tamil Nadu,Chennai,Tamil Nadu,600042,south Chennai Tamil Nadu,Chennai,Tamil Nadu,600042,Sahil kaushal,2,ADMNO032,Parent0032,49167,Sanjeev kumar,,h,Sanjeev kumar,6382586425,erptestfather32@yopmail.com,MBBS,engineer,Sudha Dogra,6382586526,,MCA,professor,,,,,,,,
Khushi,,Gonzalez,STNT0033,184294632771,Teamwork,Sports Hobbies,NA,NA,erpteststudent33@yopmail.com,8678351002,,temple,temple,Minor operation,colony Chennai Tamil Nadu,Chennai,Tamil Nadu,600040,colony Chennai Tamil Nadu,Chennai,Tamil Nadu,600040,Mehak Dogra,2,ADMNO033,Parent0033,25059,Tejpal singh,,e,Tejpal singh,7114924583,erptestfather33@yopmail.com,MBBS,engineer,Meeran eevi,7114924684,,BA,driver,,,,,,,,
Sumedha,,Hernandez,STNT0034,172960184537,Organization,Crafting Hobbies,NA,NA,erpteststudent34@yopmail.com,6973920841,,ear,forehead,No,colony Chennai Tamil Nadu,Chennai,Tamil Nadu,600045,colony Chennai Tamil Nadu,Chennai,Tamil Nadu,600045,Mehak Dogra,7,ADMNO034,Parent0034,74193,Bhupinder singh,,c,Bhupinder singh,8243744758,erptestfather34@yopmail.com,BA,Doctor,Meeran eevi,8243744859,,BA,framer,,,,,,,,



Kumari Ankita Yadav,,Fernandez,STNT0045,176374834940,Openness,Sports Hobbies,NA,NA,erpteststudent45@yopmail.com,7071751355,,face,nose,Major Operations,Street Chennai Tamil Nadu,Chennai,Tamil Nadu,600017,Street Chennai Tamil Nadu,Chennai,Tamil Nadu,600017,Vibhash Kumar,1,ADMNO045,Parent0045,74193,Bhagat Singh,,d,Bhagat Singh,9577800956,erptestfather45@yopmail.com,MBA,framer,Veena devi,9577801057,,MSC,Doctor,,,,,,,,
Muskan Tiwari,,Taylor,STNT0046,192252732698,Communication,Crafting Hobbies,NA,1st rank,erpteststudent46@yopmail.com,8325537977,,head,forehead,No,Street Chennai Tamil Nadu,Chennai,Tamil Nadu,600027,Street Chennai Tamil Nadu,Chennai,Tamil Nadu,600027,Rakhi,1,ADMNO046,Parent0046,82303,Manoj Kumar,,d,Manoj Kumar,9656882151,erptestfather46@yopmail.com,MSC,framer,Sharmila Devi,9656882252,,BA,Government officer,,,,,,,,
Vibhash Kumar,,Jones,STNT0047,135379855691,Problem-solving,Food & Cooking Hobbies,NA,NA,erpteststudent47@yopmail.com,8000004201,,face,ear,TB,south Chennai Tamil Nadu,Chennai,Tamil Nadu,600047,south Chennai Tamil Nadu,Chennai,Tamil Nadu,600047,Muskan Tiwari,6,ADMNO047,Parent0047,57443,Radha Mohan Tiwari,,d,Radha Mohan Tiwari,7404974683,erptestfather47@yopmail.com,MCA,business,Sharmila Devi,7404974784,,M Com,professor,,,,,,,,
SHREYASH SANDEEP MOR,,Smith,STNT0048,182023736539,Oral and written communication,Sports Hobbies,NA,NA,erpteststudent48@yopmail.com,7753981992,,temple,forehead,No,mainroad Chennai Tamil Nadu,Chennai,Tamil Nadu,600048,mainroad Chennai Tamil Nadu,Chennai,Tamil Nadu,600048,Kumari Ankita Yadav,8,ADMNO048,Parent0048,49167,SANDEEP SHIVAJI MORE,,e,SANDEEP SHIVAJI MORE,8519783259,erptestfather48@yopmail.com,M Com,teacher,Veena devi,8519783360,,M Com,framer,,,,,,,,
Arti devi,,Rodriguez,STNT0049,131646668137,Problem-solving,Sports Hobbies,NA,NA,erpteststudent49@yopmail.com,8603180507,,earlobe,hair,TB,south Chennai Tamil Nadu,Chennai,Tamil Nadu,600030,south Chennai Tamil Nadu,Chennai,Tamil Nadu,600030,Muskan Tiwari,1,ADMNO049,Parent0049,49167,Ashok Kumar,,c,Ashok Kumar,8179647678,erptestfather49@yopmail.com,MCA,framer,Veena devi,8179647779,,BE,professor,,,,,,,,
Arti devi,,Patel,STNT0050,181777956892,Leadership,Food & Cooking Hobbies,NA,NA,erpteststudent50@yopmail.com,9823348581,,nose,forehead,No,south Chennai Tamil Nadu,Chennai,Tamil Nadu,600041,south Chennai Tamil Nadu,Chennai,Tamil Nadu,600041,Arti devi,3,ADMNO050,Parent0050,54882,Gurdial singh,,d,Gurdial singh,6267800897,erptestfather50@yopmail.com,MBA,driver,SHWETA SANDEEP MO,6267800998,,BE,engineer,,,,,,,,
Vibhash Kumar,,Wong,STNT0051,125224731061,Problem-solving,Outdoor Hobbies,NA,NA,erpteststudent51@yopmail.com,6478564387,,nose,face,Major Operations,south Chennai Tamil Nadu,Chennai,Tamil Nadu,600051,south Chennai Tamil Nadu,Chennai,Tamil Nadu,600051,Neha Kumari,8,ADMNO051,Parent0051,49167,Ashok Kumar,,g,Ashok Kumar,9582908961,erptestfather51@yopmail.com,ME,teacher,Anita Devi,9582909062,,MSC,nurse,,,,,,,,
Sakshi devi,,Kim,STNT0052,149953899636,Adaptability,Outdoor Hobbies,NA,NA,erpteststudent52@yopmail.com,7914576541,,forehead,forehead,No,colony Chennai Tamil Nadu,Chennai,Tamil Nadu,600019,colony Chennai Tamil Nadu,Chennai,Tamil Nadu,600019,Muskan Tiwari,5,ADMNO052,Parent0052,113127,Dev Karan Singh,,c,Dev Karan Singh,9669654246,erptestfather52@yopmail.com,MBBS,nurse,Anita Devi,9669654347,,ME,professor,,,,,,,,
Sakshi devi,,Singh,STNT0053,203999376584,Oral and written communication,Outdoor Hobbies,NA,NA,erpteststudent53@yopmail.com,7373108685,,temple,nostril,Minor operation,north Chennai Tamil Nadu,Chennai,Tamil Nadu,600053,north Chennai Tamil Nadu,Chennai,Tamil Nadu,600053,Neha Kumari,4,ADMNO053,Parent0053,49167,Dev Karan Singh,,h,Dev Karan Singh,6761428868,erptestfather53@yopmail.com,MSC,business,Shubh lata,6761428969,,MBBS,framer,,,,,,,,
Neha Kumari,,Rodriguez,STNT0054,159294373061,Creativity,The Arts,NA,NA,erpteststudent54@yopmail.com,7047595333,,face,head,No,mainroad Chennai Tamil Nadu,Chennai,Tamil Nadu,600016,mainroad Chennai Tamil Nadu,Chennai,Tamil Nadu,600016,Aditi sharma,6,ADMNO054,Parent0054,49393,SANDEEP KAUSH,,e,SANDEEP KAUSH,6684302858,erptestfather54@yopmail.com,MCA,Doctor,Sunita devi,6684302959,,ME,Doctor,,,,,,,,
Muskan Yadav,,Martinez,STNT0055,208617830443,Adaptability,Other Creative Hobbies,poem prize,NA,erpteststudent55@yopmail.com,6742507846,,face,face,Minor operation,nager Chennai Tamil Nadu,Chennai,Tamil Nadu,600052,nager Chennai Tamil Nadu,Chennai,Tamil Nadu,600052,Suneha,2,ADMNO055,Parent0055,57443,SANDEEP KAUSH,,g,SANDEEP KAUSH,6159407705,erptestfather55@yopmail.com,ME,framer,Anita Devi,6159407806,,MBA,driver,,,,,,,,
SHREYASH SANDEEP MOR,,Lee,STNT0056,150367452032,Teamwork,Crafting Hobbies,poem prize,NA,erpteststudent56@yopmail.com,8417334885,,nostril,ear,No,mainroad Chennai Tamil Nadu,Chennai,Tamil Nadu,600018,mainroad Chennai Tamil Nadu,Chennai,Tamil Nadu,600018,PRAKRITI MEHRA,1,ADMNO056,Parent0056,82303,Dev Karan Singh,,i,Dev Karan Singh,7010190157,erptestfather56@yopmail.com,MBA,Government officer,RAJNI DEVI,7010190258,,MBA,driver,,,,,,,,
MUDIT SINGH,,Chen,STNT0057,159598359574,Organization,Crafting Hobbies,NA,NA,erpteststudent57@yopmail.com,8342207171,,earlobe,nostril,Major Operations,west Chennai Tamil Nadu,Chennai,Tamil Nadu,600032,west Chennai Tamil Nadu,Chennai,Tamil Nadu,600032,Sakshi devi,3,ADMNO057,Parent0057,82303,Dinesh Kumar Yadav,,g,Dinesh Kumar Yadav,7966709317,erptestfather57@yopmail.com,M Tech,driver,Shubh lata,7966709418,,MBBS,business,,,,,,,,
KRISH KAUSHAL,,Gonzalez,STNT0058,171005093162,Leadership,The Arts,NA,NA,erpteststudent58@yopmail.com,9638046716,,earlobe,nose,No,mainroad Chennai Tamil Nadu,Chennai,Tamil Nadu,600037,mainroad Chennai Tamil Nadu,Chennai,Tamil Nadu,600037,Suneha,6,ADMNO058,Parent0058,57443,SUKHDEV RAJ,,i,SUKHDEV RAJ,6979431368,erptestfather58@yopmail.com,M Tech,teacher,Rozy Bala,6979431469,,BE,business,,,,,,,,
Suneha,,Hernandez,STNT0059,179563067310,Openness,Food & Cooking Hobbies,NA,NA,erpteststudent59@yopmail.com,6615560994,,hair,forehead,No,mainroad Chennai Tamil Nadu,Chennai,Tamil Nadu,600022,mainroad Chennai Tamil Nadu,Chennai,Tamil Nadu,600022,KRISH KAUSHAL,4,ADMNO059,Parent0059,130561,Man singh,,f,Man singh,9675611878,erptestfather59@yopmail.com,M Tech,engineer,RITU KAUSHA,9675611979,,BE,framer,,,,,,,,
PRAKRITI MEHRA,,Nguyen,STNT0060,138646935368,Adaptability,Games,NA,NA,erpteststudent60@yopmail.com,6494279814,,forehead,ear,Minor operation,mainroad Chennai Tamil Nadu,Chennai,Tamil Nadu,600022,mainroad Chennai Tamil Nadu,Chennai,Tamil Nadu,600022,Akshay Kumar Singh,7,ADMNO060,Parent0060,113127,SUKHDEV RAJ,,c,SUKHDEV RAJ,9929172222,erptestfather60@yopmail.com,ME,teacher,RAJNI DEVI,99929172323,,MBBS,Government officer,,,,,,,,
Ankit dogra,,Garcia,STNT0061,144661591276,Communication,The Benefits of Hobbies,NA,1st rank,erpteststudent61@yopmail.com,7079965974,,temple,head,Alargic,south Chennai Tamil Nadu,Chennai,Tamil Nadu,600036,south Chennai Tamil Nadu,Chennai,Tamil Nadu,600036,PRAKRITI MEHRA,6,ADMNO061,Parent0061,25059,Ram lal,,b,Ram lal,7877375244,erptestfather61@yopmail.com,MBA,driver,RITU KAUSHA,7877375345,,MBBS,engineer,,,,,,,,
Ankit dogra,,Johnson,STNT0062,180787613780,Problem-solving,Other Creative Hobbies,NA,1st rank,erpteststudent62@yopmail.com,9777678057,,forehead,earlobe,Alargic,west Chennai Tamil Nadu,Chennai,Tamil Nadu,600019,west Chennai Tamil Nadu,Chennai,Tamil Nadu,600019,ISHIKA,4,ADMNO062,Parent0062,54882,Ram lal,,c,Ram lal,7673261207,erptestfather62@yopmail.com,ME,engineer,Sunita,7673261308,,ME,engineer,,,,,,,,
Priyanka devi,,Martinez,STNT0063,160168990841,Openness,Crafting Hobbies,1st rank,NA,erpteststudent63@yopmail.com,7797549216,,hair,nostril,Alargic,south Chennai Tamil Nadu,Chennai,Tamil Nadu,600024,south Chennai Tamil Nadu,Chennai,Tamil Nadu,600024,Ankit dogra,5,ADMNO063,Parent0063,54882,Bodh Raj,,c,Bodh Raj,7495024617,erptestfather63@yopmail.com,ME,driver,Lalita Devi,7495024718,,MBA,framer,,,,,,,,
Samriti,,Brown,STNT0064,185435587844,Leadership,Food & Cooking Hobbies,NA,NA,erpteststudent64@yopmail.com,6215920530,,temple,head,No,central Chennai Tamil Nadu,Chennai,Tamil Nadu,600020,central Chennai Tamil Nadu,Chennai,Tamil Nadu,600020,Akshay Kumar Singh,5,ADMNO064,Parent0064,49393,Bodh Raj,,f,Bodh Raj,8201729354,erptestfather64@yopmail.com,M Com,business,RAJNI DEVI,8201729455,,BA,professor,,,,,,,,

Natalie,Lily,Rodriguez,SDT0024,876412935081,Mobile app development,Sewing,Scholarship and College Readiness Award,Entrepreneurship Award,erpteststudent24@yopmail.com,8675309841,9057486312,Scar on upper right thigh,Mole on right thumb,Vertigo,9090 Chestnut Hill Rd.,Nashik,Meghalaya,600002,"9 Nai Sadak, Shyam Nagar",Nashik,Meghalaya,600002,Eleanor and Charles,XII,ADD0024,PARENT024,"5,895,000",Suresh,Das,Menon,Ronald,9361540827,erpgradefather24@yopmail.com,BS in Chemistry,Graphic designer,Esther,9245678901,erpstudentmother24@yopmail.com,Music Education Bachelor's Degree,Politician,Andrew Ramirez,erpstudentguardian24@yopmail.com,6555556666,Music Education Bachelor's Degree,Politician,"Completed a summer internship at a fashion magazine, assisting with photo shoots and editorial content."
Noah,James,Singh,SDT00003,753908216549,Leadership,Reading,Outstanding Sportsmanship Award,Excellence in Mathematics Award,erpteststudent03@yopmail.com,8765432190,8096132547,Jagged scar on left forearm,Mole on chin,Chickenpox as a child,101 Oak Rd.,Patna,Bihar,530001,"36 Ravi Vihar, Bhagat Singh Colony",Patna,Bihar,530001,Charlotte and William,IV,ADD0004,PARENT004,"6,933,000",Arjun,Singh,Sharma,James,7429015638,erpgradefather04@yopmail.com,Bachelor's degree,Engineer,Maria,6890123456,erpstudentmother04@yopmail.com,Associate's Degree,Lawyer,William Hernandez,erpstudentguardian04@yopmail.com,6187711122,Associate's Degree,Lawyer,"Completed an internship at a non-profit organization, assisting with grant writing and fundraising efforts."
Ava,Sophia,Rodriguez,SDT00004,624593817246,Team management,Writing,Perfect Attendance Award,Best in English Language Arts Award,erpteststudent04@yopmail.com,9098765432,9354682107,Circular scar on right elbow,Small mole on upper lip,Chronic headaches,234 Pine St.,Kolkata,Gujarat,695011,"45 Krishna Nagar, Gopalpura Bypass",Kolkata,Gujarat,695011,Emma and Benjamin,V,ADD0005,PARENT005,"3,365,000",Prakash,Dev,Singh,William,6598274301,erpgradefather05@yopmail.com,Master's degree,Teacher,Catherine,8023456789,erpstudentmother05@yopmail.com,Bachelor's Degree,Accountant,Sophia Davis,erpstudentguardian05@yopmail.com,6980443322,Bachelor's Degree,Accountant,"Served as a volunteer at a homeless shelter, providing meals and support to individuals in need."
Ethan,Benjamin,Martinez,SDT00005,318764209684,Graphic design,Photography,Science Fair Award,Social Studies Achievement Award,erpteststudent05@yopmail.com,7990123456,7945361820,Raised scar on left wrist,Mole on right ear,Depression,567 Maple Ave.,Hyderabad,Tamil Nadu,380009,"14 Shivaji Colony, Rajgarh",Hyderabad,Tamil Nadu,380009,Harper and Mason,VI,ADD0006,PARENT006,"4,669,000",Vikram,Reddy,Reddy,Richard,8791023456,erpgradefather06@yopmail.com,PhD,Sales manager,Margaret,9165432108,erpstudentmother06@yopmail.com,Master's Degree,Engineer,Christopher Wright,erpstudentguardian06@yopmail.com,7079876543,Master's Degree,Engineer,"Worked as a sales associate at a retail store, assisting customers and managing inventory."
Sophia,Grace,Lee,SDT00007,942103875632,Data analysis,Playing video games,Math Olympiad Award,Physical Education Award,erpteststudent07@yopmail.com,8345678901,8906547312,Long scar on back of left thigh,Mole on left temple,Diabetes,890 Cedar St.,Pune,Haryana,641001,"3 Patel Nagar, Gomti Nagar",Pune,Haryana,641001,Isabella and Jacob,VII,ADD0007,PARENT007,"6,230,000",Sanjay,Sharma,Choudhury,Robert,6087192345,erpgradefather07@yopmail.com,JD (Juris Doctor),Business owner,Anne,8543210987,erpstudentmother07@yopmail.com,Doctorate (PhD) Degree,Sales representative,Isabella Green,erpstudentguardian07@yopmail.com,6789900011,Doctorate (PhD) Degree,Sales representative,"Completed a summer internship at a law firm, assisting with legal research and administrative tasks."
Jackson,William,Chen,SDT00008,568490321574,Project management,Collecting stamps/coins,Artistic Achievement Award,Music Achievement Award,erpteststudent08@yopmail.com,8976543210,7298164350,Faint scar above upper lip,Mole on right shoulder,Eczema,1111 Willow Dr.,Jaipur,Jharkhand,781005,"18 Nehru Nagar, Mahalaxmi Nagar",Jaipur,Jharkhand,781005,Sophia and Elijah,VIII,ADD0008,PARENT008,"7,264,000",Rahul,Patel,Khan,Christopher,7265830194,erpgradefather08@yopmail.com,MD (Doctor of Medicine),Chef,Rebecca,7890123456,erpstudentmother08@yopmail.com,Law Degree (Juris Doctor),Business owner,Joseph Brown,erpstudentguardian08@yopmail.com,6699322244,Law Degree (Juris Doctor),Business owner,"Served as an event planner for a university organization, organizing and executing successful events for students and faculty."
Mia,Olivia,Gonzalez,SDT00009,821938475610,Sales,Knitting/crocheting,Music Performance Award,Artistic Excellence Award,erpteststudent09@yopmail.com,9123456780,9876503421,Deep scar on right calf,Mole on left wrist,Epilepsy,2222 Juniper Ln.,Kanpur,Maharashtra,492001,"67 Gandhi Road, Kumhrar",Kanpur,Maharashtra,492001,Mia and Oliver,IX,ADD0009,PARENT009,"3,828,000",Sunil,Verma,Desai,Daniel,9362578401,erpgradefather09@yopmail.com,DDS (Doctor of Dental Surgery),Construction worker,Ruth,6390876543,erpstudentmother09@yopmail.com,Medical Degree (MD),Writer,Ava Mitchell,erpstudentguardian09@yopmail.com,6855777888,Medical Degree (MD),Writer,"Worked as a research assistant for a university professor, conducting experiments and analyzing data."
Aiden,Samuel,Hernandez,SDT0010,763905821430,Customer service,Dancing,Community Service Award,Drama Achievement Award,erpteststudent10@yopmail.com,8675309123,8096325741,Scattered scars on both arms,Mole on upper back,Fractured rib in a car accident,3333 Birch Rd.,Lucknow,Madhya Pradesh,500001,"32 Ram Nagar, BHEL Township",Lucknow,Madhya Pradesh,500001,Abigail and Lucas,X,ADD0010,PARENT010,"8,580,000",Alok,Chauhan,Mukherjee,Steven,8675012349,erpgradefather10@yopmail.com,DVM (Doctor of Veterinary Medicine),Writer,Martha,7456789012,erpstudentmother10@yopmail.com,Dental Degree (DDS),Artist,Ethan Johnson,erpstudentguardian10@yopmail.com,6999888877,Dental Degree (DDS),Artist,"Served as a tutor for a high school student, helping to improve their academic performance in multiple subjects."
Isabella,Charlotte,Nguyen,SDT0011,102983647589,Time management,Cooking/baking,Technology and Innovation Award,Debate Champion Award,erpteststudent11@yopmail.com,7987654321,8976541203,Small scar near hairline,Mole on right forearm,Gastrointestinal issues,4444 Ash St.,Raipur,Odisha,800001,"9 Nai Sadak, Shyam Nagar",Raipur,Odisha,800001,Madison and Alexander,XI,ADD0011,PARENT011,"5,964,000",Deepak,Bhatia,Joshi,Charles,9023468715,erpgradefather11@yopmail.com,MBA (Master of Business Administration),Police officer,Eleanor,8765432109,erpstudentmother11@yopmail.com,Nursing Degree (RN),Chef,Mia Baker,erpstudentguardian11@yopmail.com,6166555566,Nursing Degree (RN),Chef,"Worked as a customer service representative at a call center, providing assistance and resolving issues for customers."
Lucas,Daniel,Garcia,SDT0012,945872136540,Critical thinking,Fishing,Environmental Stewardship Award,Model UN Recognition Award,erpteststudent12@yopmail.com,8192736450,7309816542,Scar on back of right hand,Mole on left thigh,Heart disease,5555 Spruce Ave.,Chennai,Uttar Pradesh,600001,"21 Shastri Nagar, Gangapur City",Chennai,Uttar Pradesh,600001,Elizabeth and Samuel,XII,ADD0012,PARENT012,"7,695,000",Anil,Nair,Verma,Joseph,7468910352,erpgradefather12@yopmail.com,MPA (Master of Public Administration),Firefighter,Grace,9023456781,erpstudentmother12@yopmail.com,Teaching Certificate,Scientist,Alexander Collins,erpstudentguardian12@yopmail.com,6788881111,Teaching Certificate,Scientist,"Completed an internship at a public relations firm, assisting with media outreach and drafting press releases."
